workload,bank_idx,bank_size,pct
bfs,0,16KB,0.002104672372667321
bfs,1,4KB,0.03858566016556756
bfs,2,1KB,0.011926476778448155
bfs,3,256B,0.002806229830223095
bfs,4,64B,99.9445769608531
im2col,0,16KB,0.0
im2col,1,4KB,0.030714102892244688
im2col,2,1KB,0.12797542871768622
im2col,3,256B,0.25083184028666494
im2col,4,64B,99.59047862810341
matrixmultiplication,0,16KB,0.19590857599786765
matrixmultiplication,1,4KB,0.17858332778036917
matrixmultiplication,2,1KB,0.4291330712334244
matrixmultiplication,3,256B,1.564603185180249
matrixmultiplication,4,64B,97.6317718398081
pagerank,0,16KB,0.010691511703386919
pagerank,1,4KB,0.04352972622093245
pagerank,2,1KB,0.0794226583680171
pagerank,3,256B,0.18939249303142539
pagerank,4,64B,99.67696361067624
