workload,banks_checked,count,pct,cdf_pct
matrixmultiplication,1,64330.0,47.133039286080624,47.133039286080624
matrixmultiplication,2,11270.0,8.257257154579957,55.39029644066058
matrixmultiplication,3,11805.0,8.64923874976188,64.03953519042246
matrixmultiplication,4,20332.0,14.896765968670781,78.93630115909323
matrixmultiplication,5,28744.0,21.060035461512534,99.99633662060577
matrixmultiplication,6,5.0,0.0036633793942235835,100.0
pagerank,1,210509.0,39.8784186467681,39.8784186467681
pagerank,2,25308.0,4.794298671849692,44.672717318617785
pagerank,3,53545.0,10.143461450299975,54.81617876891776
pagerank,4,56519.0,10.706850270043969,65.52302903896172
pagerank,5,181982.0,34.474318828060326,99.99734786702206
pagerank,6,14.0,0.0026521329779475144,100.0
