scheme,workload,RW_true_true,RW_false_true,RW_false_false,total,false_share_ratio
CD,im2col,0,3.0,10.0,13.0,0.0
CD,matrixmultiplication,4458.0,34608.0,114888.0,159643.0,0.027924807226123286
REC,im2col,0,3.0,0,3.0,0.0
REC,matrixmultiplication,478.0,15088.0,274.0,15840.0,0.030176767676767677
REC,pagerank,1759.0,566.0,1694.0,11491.0,0.15307632059872944
HMG,im2col,0,3.0,7.0,10.0,0.0
HMG,matrixmultiplication,647.0,26292.0,2793.0,29732.0,0.021761065518633122
HMG,pagerank,1861.0,817.0,168.0,4213.0,0.4417279848089248
superdirectory,bfs,0,0,0,0,
superdirectory,im2col,0,13.0,23.0,36.0,0.0
superdirectory,matrixmultiplication,1474.0,20320.0,9371.0,31165.0,0.04729664687951227
superdirectory,pagerank,1876.0,951.0,1393.0,11008.0,0.17042151162790697
